"id","en","es","ru"
"(Discard) I don't like the image but it will suffice for now.
She had been a military chaplain during the war but then was ""demoted""
during one of the incidents involving human trafficking.
Former lover of the Masked Man and one of the members of the Board of Directors.","(Discard) I don't like the image but it will suffice for now.
She had been a military chaplain during the war but then was ""demoted""
during one of the incidents involving human trafficking.
Former lover of the Masked Man and one of the members of the Board of Directors.","(Descartar) No me gusta la imagen pero será suficiente por ahora.
Había sido capellán militar durante la guerra pero luego fue ""degradada""
durante uno de los incidentes relacionados con la trata de personas.
Ex amante del Enmascarado y uno de los miembros de la Junta Directiva.","(Сбросить) Изображение мне не нравится, но пока хватит.
Во время войны она была военным капелланом, но затем была «понижена в должности»
во время одного из инцидентов, связанных с торговлей людьми.
Бывшая возлюбленная Человека в Маске и один из членов совета директоров."
"+ CREATE NEW SAVE","+ CREATE NEW SAVE","+ CREAR NUEVO GUARDAR","+ СОЗДАТЬ НОВОЕ СОХРАНЕНИЕ"
"10/24/2026 14:00
","10/24/2026 14:00
","24/10/2026 14:00","24.10.2026 14:00"
"2m","2m","2m","2м"
"3D assets are created by Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni","3D assets are created by Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni","Los recursos 3D son creados por Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni","3D-модели созданы Лукасом Андресом Манзони
https://www.behance.net/lucasandresmanzoni"
"3D assets are created by Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni
-----
Sounds
Gerard Velez @gerard_98
-----
Some dude - DannyDeTour","3D assets are created by Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni
-----
Sounds
Gerard Velez @gerard_98
-----
Some dude - DannyDeTour","Los recursos 3D son creados por Lucas Andres Manzoni
https://www.behance.net/lucasandresmanzoni
-----
Sonidos
Gerard Velez @gerard_98
-----
Un tipo - DannyDeTour","3D-объекты созданы Лукасом Андресом Манзони
https://www.behance.net/lucasandresmanzoni
-----
Звуки
Джерард Велес @gerard_98
-----
Какой-то чувак - DannyDeTour"
"A level containing all gameplay mechanics and effects.

This is where you can find all the gameplay mechanics and effects","A level containing all gameplay mechanics and effects.

This is where you can find all the gameplay mechanics and effects","Un nivel que contiene todas las mecánicas y efectos del juego.

Aquí es donde puedes encontrar todas las mecánicas y efectos del juego.","Уровень, содержащий всю игровую механику и эффекты.

Здесь вы найдете всю игровую механику и эффекты."
"A midway stop.
Imagine that I have collectibles here.
Prenty of cookies. ","A midway stop.
Imagine that I have collectibles here.
Prenty of cookies. ","Una parada a mitad de camino.
Imagina que tengo objetos coleccionables aquí.
Un montón de galletas.","Остановка на полпути.
Представьте, что у меня здесь есть предметы коллекционирования.
Много печенья."
"A more realistic rendition of our big boy. ","A more realistic rendition of our big boy. ","Una interpretación más realista de nuestro gran chico.","Более реалистичная версия нашего большого мальчика."
"A shotgun?!
Yes. It. Is
","A shotgun?!
Yes. It. Is
","¡¿Una escopeta?!
Sí. Él. Es","Ружье?!
Да. Это. Оно."
"A simple level with first visuals.

A simple level with first visuals. ","A simple level with first visuals.

A simple level with first visuals. ","Un nivel simple con primeras imágenes.

Un nivel simple con las primeras imágenes.","Простой уровень с простейшей графикой.

Простой уровень с простейшей графикой."
"A small physics puzzle -
wanna go up? find the box! (or just activate noclip.
 It's a testbed, not a monastery)","A small physics puzzle -
wanna go up? find the box! (or just activate noclip.
 It's a testbed, not a monastery)","Un pequeño rompecabezas de física:
¿quieres subir? encuentra la caja! (o simplemente active noclip.
Es un banco de pruebas, no un monasterio)","Небольшая головоломка по физике –
хочешь подняться? найди коробку! (или просто активируйте noclip.
Это испытательный стенд, а не монастырь)"
"AccesibilitySFX Volume","AccesibilitySFX Volume","AccesibilidadVolumen SFX","Громкость специальных возможностейSFX"
"Accessibility","Accessibility","Accesibilidad","Доступность"
"Accessible Label","Accessible Label","Etiqueta accesible","Доступная этикетка"
"Action","Action","Acción","Действие"
"Aditional Photography by Rian Johnson","Aditional Photography by Rian Johnson","Fotografía adicional de Rian Johnson","Дополнительные фотографии Райана Джонсона"
"Advanced reflection","Advanced reflection","Reflexión avanzada","Расширенное отражение"
"Aim Assist","Aim Assist","Asistencia de puntería","Помощь при прицеливании"
"Aim Assist Amount","Aim Assist Amount","Cantidad de asistencia de puntería","Сумма помощи при прицеливании"
